,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,AVGTrainTime,F1Score,TestAcc,EpochsRan
162,6,1024,256,64,0.75,2,0 days 00:00:00.052493,0 days 00:00:48.435372,71.4,77.4,43
163,6,1024,256,64,0.75,3,0 days 00:00:00.052493,0 days 00:00:24.361014,77.8,80.4,29
164,6,1024,256,64,0.75,5,0 days 00:00:00.052493,0 days 00:01:00.174462,87.4,89.0,61
165,6,1024,256,128,0.5,2,0 days 00:00:00.044414,0 days 00:00:38.858820,77.0,80.0,44
166,6,1024,256,128,0.5,3,0 days 00:00:00.044414,0 days 00:01:34.769967,94.4,94.8,80
167,6,1024,256,128,0.5,5,0 days 00:00:00.044414,0 days 00:01:24.617117,96.2,96.4,76
168,6,1024,256,192,0.25,2,0 days 00:00:00.041559,0 days 00:00:11.061575,57.2,71.4,22
169,6,1024,256,192,0.25,3,0 days 00:00:00.041559,0 days 00:01:57.779660,90.2,91.0,80
170,6,1024,256,192,0.25,5,0 days 00:00:00.041559,0 days 00:01:18.479146,90.0,91.2,79
171,6,1024,512,128,0.75,2,0 days 00:00:00.045445,0 days 00:00:10.016365,71.4,72.4,20
172,6,1024,512,128,0.75,3,0 days 00:00:00.045445,0 days 00:01:35.738639,90.6,91.8,67
173,6,1024,512,128,0.75,5,0 days 00:00:00.045445,0 days 00:01:39.438290,96.0,95.8,73
174,6,1024,512,256,0.5,2,0 days 00:00:00.040029,0 days 00:00:42.120218,55.6,72.0,41
175,6,1024,512,256,0.5,3,0 days 00:00:00.040029,0 days 00:01:23.488401,86.0,85.0,67
176,6,1024,512,256,0.5,5,0 days 00:00:00.040029,0 days 00:01:49.990594,96.6,96.6,80
177,6,1024,512,384,0.25,2,0 days 00:00:00.038564,0 days 00:00:51.030376,80.6,83.8,68
178,6,1024,512,384,0.25,3,0 days 00:00:00.038564,0 days 00:01:36.716584,91.4,91.4,66
179,6,1024,512,384,0.25,5,0 days 00:00:00.038564,0 days 00:01:49.187855,95.8,96.0,79
180,6,1024,1024,256,0.75,2,0 days 00:00:00.041118,0 days 00:00:53.057729,80.2,82.8,56
181,6,1024,1024,256,0.75,3,0 days 00:00:00.041118,0 days 00:00:38.359673,83.6,84.6,44
182,6,1024,1024,256,0.75,5,0 days 00:00:00.041118,0 days 00:01:45.342518,95.2,95.8,80
183,6,1024,1024,512,0.5,2,0 days 00:00:00.038263,0 days 00:00:36.845857,81.2,81.0,31
184,6,1024,1024,512,0.5,3,0 days 00:00:00.038263,0 days 00:01:48.968461,94.8,95.4,80
185,6,1024,1024,512,0.5,5,0 days 00:00:00.038263,0 days 00:01:26.410331,94.0,94.2,68
186,6,1024,1024,768,0.25,2,0 days 00:00:00.037717,0 days 00:01:28.111801,86.8,88.4,66
187,6,1024,1024,768,0.25,3,0 days 00:00:00.037717,0 days 00:02:00.457292,95.2,95.4,80
188,6,1024,1024,768,0.25,5,0 days 00:00:00.037717,0 days 00:01:27.421305,94.6,95.4,68
189,6,2048,256,64,0.75,2,0 days 00:00:00.072958,0 days 00:00:25.426986,69.8,76.8,33
190,6,2048,256,64,0.75,3,0 days 00:00:00.072958,0 days 00:01:17.884678,84.0,86.6,53
191,6,2048,256,64,0.75,5,0 days 00:00:00.072958,0 days 00:01:04.083801,83.4,85.2,59
192,6,2048,256,128,0.5,2,0 days 00:00:00.054116,0 days 00:00:37.429595,77.0,81.6,43
193,6,2048,256,128,0.5,3,0 days 00:00:00.054116,0 days 00:01:51.294509,91.6,93.0,77
194,6,2048,256,128,0.5,5,0 days 00:00:00.054116,0 days 00:01:37.137678,96.6,96.6,79
195,6,2048,256,192,0.25,2,0 days 00:00:00.048395,0 days 00:00:33.924070,71.4,79.2,38
