,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,AVGTrainTime,F1Score,TestAcc,EpochsRan
185,6,1024,1024,512,0.5,5,0 days 00:00:00.060881,0 days 00:00:52.767275,90.6,90.6,46
186,6,1024,1024,768,0.25,2,0 days 00:00:00.059926,0 days 00:00:49.674550,89.8,89.2,49
187,6,1024,1024,768,0.25,3,0 days 00:00:00.059926,0 days 00:01:17.692361,91.6,91.4,68
188,6,1024,1024,768,0.25,5,0 days 00:00:00.059926,0 days 00:01:04.060215,91.6,91.6,49
189,6,2048,256,64,0.75,2,0 days 00:00:00.091934,0 days 00:00:38.061770,79.8,83.2,35
190,6,2048,256,64,0.75,3,0 days 00:00:00.091934,0 days 00:00:49.916168,81.8,83.4,45
191,6,2048,256,64,0.75,5,0 days 00:00:00.091934,0 days 00:00:28.777626,82.6,84.6,26
192,6,2048,256,128,0.5,2,0 days 00:00:00.077578,0 days 00:01:18.307946,89.0,88.4,64
193,6,2048,256,128,0.5,3,0 days 00:00:00.077578,0 days 00:00:59.301516,89.2,88.8,46
194,6,2048,256,128,0.5,5,0 days 00:00:00.077578,0 days 00:00:26.509396,76.4,80.2,25
195,6,2048,256,192,0.25,2,0 days 00:00:00.073954,0 days 00:01:01.699366,88.0,87.4,51
196,6,2048,256,192,0.25,3,0 days 00:00:00.073954,0 days 00:00:55.153187,87.2,87.0,44
197,6,2048,256,192,0.25,5,0 days 00:00:00.073954,0 days 00:00:39.342920,87.0,87.2,30
198,6,2048,512,128,0.75,2,0 days 00:00:00.076351,0 days 00:01:09.066331,79.0,83.8,55
199,6,2048,512,128,0.75,3,0 days 00:00:00.076351,0 days 00:01:13.827844,89.0,88.6,68
200,6,2048,512,128,0.75,5,0 days 00:00:00.076351,0 days 00:00:42.954082,86.6,87.2,41
201,6,2048,512,256,0.5,2,0 days 00:00:00.067176,0 days 00:00:57.906816,89.2,88.8,50
202,6,2048,512,256,0.5,3,0 days 00:00:00.067176,0 days 00:00:56.269259,88.8,88.4,48
203,6,2048,512,256,0.5,5,0 days 00:00:00.067176,0 days 00:00:48.983350,91.2,91.2,53
204,6,2048,512,384,0.25,2,0 days 00:00:00.065455,0 days 00:00:49.308342,89.0,88.2,43
205,6,2048,512,384,0.25,3,0 days 00:00:00.065455,0 days 00:01:03.121430,89.8,89.6,52
206,6,2048,512,384,0.25,5,0 days 00:00:00.065455,0 days 00:00:52.286121,91.0,91.0,50
207,6,2048,1024,256,0.75,2,0 days 00:00:00.067739,0 days 00:00:55.725093,87.8,86.8,45
208,6,2048,1024,256,0.75,3,0 days 00:00:00.067739,0 days 00:01:11.318517,90.4,89.8,62
209,6,2048,1024,256,0.75,5,0 days 00:00:00.067739,0 days 00:00:55.769099,91.8,91.4,51
210,6,2048,1024,512,0.5,2,0 days 00:00:00.064011,0 days 00:01:01.039752,88.0,87.0,56
211,6,2048,1024,512,0.5,3,0 days 00:00:00.064011,0 days 00:01:31.511637,92.0,91.6,73
212,6,2048,1024,512,0.5,5,0 days 00:00:00.064011,0 days 00:01:31.589945,94.6,94.6,78
213,6,2048,1024,768,0.25,2,0 days 00:00:00.064520,0 days 00:00:55.860700,88.4,87.8,53
214,6,2048,1024,768,0.25,3,0 days 00:00:00.064520,0 days 00:01:16.235413,91.2,91.0,67
215,6,2048,1024,768,0.25,5,0 days 00:00:00.064520,0 days 00:01:23.716357,94.2,94.2,74
216,6,2048,2048,512,0.75,2,0 days 00:00:00.064770,0 days 00:01:00.093570,89.2,88.8,55
217,6,2048,2048,512,0.75,3,0 days 00:00:00.064770,0 days 00:01:32.042257,91.0,90.6,73
218,6,2048,2048,512,0.75,5,0 days 00:00:00.064770,0 days 00:01:38.229156,92.6,92.6,74
219,6,2048,2048,1024,0.5,2,0 days 00:00:00.061560,0 days 00:00:56.691941,89.4,89.0,48
220,6,2048,2048,1024,0.5,3,0 days 00:00:00.061560,0 days 00:01:55.715467,94.0,94.0,76
221,6,2048,2048,1024,0.5,5,0 days 00:00:00.061560,0 days 00:01:48.865079,96.0,96.0,77
222,6,2048,2048,1536,0.25,2,0 days 00:00:00.060925,0 days 00:01:10.518177,91.0,90.8,72
223,6,2048,2048,1536,0.25,3,0 days 00:00:00.060925,0 days 00:01:49.126157,95.2,95.4,80
224,6,2048,2048,1536,0.25,5,0 days 00:00:00.060925,0 days 00:01:37.131292,96.6,96.6,75
225,6,4096,256,64,0.75,2,0 days 00:00:00.119764,0 days 00:01:35.893965,87.6,87.4,65
226,6,4096,256,64,0.75,3,0 days 00:00:00.119764,0 days 00:00:30.931823,83.0,84.0,30
227,6,4096,256,64,0.75,5,0 days 00:00:00.119764,0 days 00:00:33.045196,80.2,83.4,25
228,6,4096,256,128,0.5,2,0 days 00:00:00.094329,0 days 00:01:17.007103,87.2,87.2,63
229,6,4096,256,128,0.5,3,0 days 00:00:00.094329,0 days 00:01:01.180127,90.2,89.6,50
230,6,4096,256,128,0.5,5,0 days 00:00:00.094329,0 days 00:00:34.857326,86.4,86.4,28
231,6,4096,256,192,0.25,2,0 days 00:00:00.083989,0 days 00:01:02.971971,75.6,82.2,44
232,6,4096,256,192,0.25,3,0 days 00:00:00.083989,0 days 00:00:53.060723,88.2,87.8,39
233,6,4096,256,192,0.25,5,0 days 00:00:00.083989,0 days 00:00:38.695110,88.8,88.6,31
234,6,4096,512,128,0.75,2,0 days 00:00:00.094518,0 days 00:00:50.204638,75.8,82.2,43
235,6,4096,512,128,0.75,3,0 days 00:00:00.094518,0 days 00:01:09.013077,87.6,86.8,57
236,6,4096,512,128,0.75,5,0 days 00:00:00.094518,0 days 00:01:11.346193,92.2,92.2,57
237,6,4096,512,256,0.5,2,0 days 00:00:00.077212,0 days 00:01:00.441487,86.4,86.2,41
238,6,4096,512,256,0.5,3,0 days 00:00:00.077212,0 days 00:01:12.952901,89.4,89.0,55
239,6,4096,512,256,0.5,5,0 days 00:00:00.077212,0 days 00:01:50.797787,92.4,92.2,80
240,6,4096,512,384,0.25,2,0 days 00:00:00.071182,0 days 00:01:06.993524,88.2,88.0,49
