,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,TrainTime,F1Score,TestAcc,EpochsRan
199,6,2048,512,128,0.75,3,0 days 00:00:00.091886,0 days 00:01:27.387110,84.0,85.0,80
200,6,2048,512,128,0.75,5,0 days 00:00:00.091886,0 days 00:01:29.330604,84.0,84.0,72
201,6,2048,512,256,0.5,2,0 days 00:00:00.079279,0 days 00:01:05.189181,85.0,85.0,80
202,6,2048,512,256,0.5,3,0 days 00:00:00.079279,0 days 00:00:48.915138,86.0,86.0,68
203,6,2048,512,256,0.5,5,0 days 00:00:00.079279,0 days 00:01:22.541111,86.0,87.0,80
204,6,2048,512,384,0.25,2,0 days 00:00:00.073333,0 days 00:01:28.086107,86.0,87.0,80
205,6,2048,512,384,0.25,3,0 days 00:00:00.073333,0 days 00:01:22.542154,85.0,85.0,80
206,6,2048,512,384,0.25,5,0 days 00:00:00.073333,0 days 00:01:14.966441,86.0,86.0,80
207,6,2048,1024,256,0.75,2,0 days 00:00:00.076784,0 days 00:00:55.251165,78.0,81.0,50
208,6,2048,1024,256,0.75,3,0 days 00:00:00.076784,0 days 00:01:16.022931,86.0,87.0,80
209,6,2048,1024,256,0.75,5,0 days 00:00:00.076784,0 days 00:01:15.098249,86.0,86.0,79
210,6,2048,1024,512,0.5,2,0 days 00:00:00.070029,0 days 00:01:14.560958,81.0,83.0,80
211,6,2048,1024,512,0.5,3,0 days 00:00:00.070029,0 days 00:01:13.506867,84.0,84.0,80
212,6,2048,1024,512,0.5,5,0 days 00:00:00.070029,0 days 00:01:11.094760,87.0,87.0,80
213,6,2048,1024,768,0.25,2,0 days 00:00:00.068349,0 days 00:01:11.289326,83.0,85.0,80
214,6,2048,1024,768,0.25,3,0 days 00:00:00.068349,0 days 00:01:19.904508,85.0,86.0,80
215,6,2048,1024,768,0.25,5,0 days 00:00:00.068349,0 days 00:02:22.542394,87.0,87.0,80
216,6,2048,2048,512,0.75,2,0 days 00:00:00.070796,0 days 00:01:14.833989,84.0,84.0,80
217,6,2048,2048,512,0.75,3,0 days 00:00:00.070796,0 days 00:01:38.658161,84.0,85.0,80
218,6,2048,2048,512,0.75,5,0 days 00:00:00.070796,0 days 00:01:11.913584,86.0,86.0,80
219,6,2048,2048,1024,0.5,2,0 days 00:00:00.065938,0 days 00:01:11.155951,80.0,83.0,80
220,6,2048,2048,1024,0.5,3,0 days 00:00:00.065938,0 days 00:01:22.541818,87.0,87.0,80
221,6,2048,2048,1024,0.5,5,0 days 00:00:00.065938,0 days 00:00:54.233287,87.0,87.0,70
222,6,2048,2048,1536,0.25,2,0 days 00:00:00.066114,0 days 00:02:22.535749,84.0,86.0,80
223,6,2048,2048,1536,0.25,3,0 days 00:00:00.066114,0 days 00:02:22.555956,86.0,87.0,80
224,6,2048,2048,1536,0.25,5,0 days 00:00:00.066114,0 days 00:01:08.483390,88.0,88.0,80
225,6,4096,256,64,0.75,2,0 days 00:00:00.149786,0 days 00:01:15.540920,83.0,84.0,80
226,6,4096,256,64,0.75,3,0 days 00:00:00.149786,0 days 00:01:22.527065,83.0,82.0,54
227,6,4096,256,64,0.75,5,0 days 00:00:00.149786,0 days 00:01:00.302446,82.0,83.0,57
228,6,4096,256,128,0.5,2,0 days 00:00:00.116295,0 days 00:00:52.043040,82.0,84.0,56
229,6,4096,256,128,0.5,3,0 days 00:00:00.116295,0 days 00:01:04.034672,85.0,85.0,80
230,6,4096,256,128,0.5,5,0 days 00:00:00.116295,0 days 00:01:13.012582,86.0,86.0,61
231,6,4096,256,192,0.25,2,0 days 00:00:00.099956,0 days 00:01:08.654479,81.0,83.0,80
232,6,4096,256,192,0.25,3,0 days 00:00:00.099956,0 days 00:01:12.418102,85.0,85.0,80
233,6,4096,256,192,0.25,5,0 days 00:00:00.099956,0 days 00:00:57.555870,84.0,85.0,56
234,6,4096,512,128,0.75,2,0 days 00:00:00.115934,0 days 00:01:47.842814,87.0,88.0,79
235,6,4096,512,128,0.75,3,0 days 00:00:00.115934,0 days 00:01:55.900023,86.0,86.0,80
236,6,4096,512,128,0.75,5,0 days 00:00:00.115934,0 days 00:01:25.010025,86.0,85.0,80
237,6,4096,512,256,0.5,2,0 days 00:00:00.091889,0 days 00:01:22.554756,83.0,85.0,80
238,6,4096,512,256,0.5,3,0 days 00:00:00.091889,0 days 00:01:04.526438,83.0,83.0,56
239,6,4096,512,256,0.5,5,0 days 00:00:00.091889,0 days 00:01:00.711083,85.0,86.0,56
240,6,4096,512,384,0.25,2,0 days 00:00:00.084307,0 days 00:01:30.042560,84.0,84.0,80
241,6,4096,512,384,0.25,3,0 days 00:00:00.084307,0 days 00:01:04.128072,83.0,83.0,80
242,6,4096,512,384,0.25,5,0 days 00:00:00.084307,0 days 00:01:41.790190,87.0,87.0,80
243,6,4096,1024,256,0.75,2,0 days 00:00:00.090063,0 days 00:01:11.207743,83.0,85.0,80
244,6,4096,1024,256,0.75,3,0 days 00:00:00.090063,0 days 00:01:17.054380,86.0,87.0,80
245,6,4096,1024,256,0.75,5,0 days 00:00:00.090063,0 days 00:01:12.631450,87.0,87.0,72
246,6,4096,1024,512,0.5,2,0 days 00:00:00.078362,0 days 00:01:22.449509,80.0,82.0,73
247,6,4096,1024,512,0.5,3,0 days 00:00:00.078362,0 days 00:01:37.900905,85.0,85.0,80
248,6,4096,1024,512,0.5,5,0 days 00:00:00.078362,0 days 00:01:39.493073,88.0,88.0,80
249,6,4096,1024,768,0.25,2,0 days 00:00:00.074442,0 days 00:01:28.156201,82.0,84.0,80
250,6,4096,1024,768,0.25,3,0 days 00:00:00.074442,0 days 00:01:21.418158,85.0,84.0,80
251,6,4096,1024,768,0.25,5,0 days 00:00:00.074442,0 days 00:01:35.710628,88.0,87.0,80
252,6,4096,2048,512,0.75,2,0 days 00:00:00.078884,0 days 00:02:22.532884,82.0,83.0,80
253,6,4096,2048,512,0.75,3,0 days 00:00:00.078884,0 days 00:01:51.655222,84.0,85.0,80
254,6,4096,2048,512,0.75,5,0 days 00:00:00.078884,0 days 00:01:10.487852,83.0,85.0,80
