,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,AVGTrainTime,F1Score,TestAcc,EpochsRan
180,6,1024,1024,256,0.75,2,0 days 00:00:00.070073,0 days 00:00:54.344836,76.4,80.0,68
181,6,1024,1024,256,0.75,3,0 days 00:00:00.070073,0 days 00:01:03.693784,75.6,79.2,66
182,6,1024,1024,256,0.75,5,0 days 00:00:00.070073,0 days 00:00:50.074053,78.2,78.8,56
183,6,1024,1024,512,0.5,2,0 days 00:00:00.065615,0 days 00:00:50.406255,72.4,77.8,58
184,6,1024,1024,512,0.5,3,0 days 00:00:00.065615,0 days 00:01:00.000702,81.2,82.4,64
185,6,1024,1024,512,0.5,5,0 days 00:00:00.065615,0 days 00:00:55.997092,82.2,83.6,69
186,6,1024,1024,768,0.25,2,0 days 00:00:00.065320,0 days 00:00:56.246571,72.2,77.8,59
187,6,1024,1024,768,0.25,3,0 days 00:00:00.065320,0 days 00:01:21.620774,84.8,85.6,80
188,6,1024,1024,768,0.25,5,0 days 00:00:00.065320,0 days 00:00:56.478104,81.8,82.6,61
189,6,2048,256,64,0.75,2,0 days 00:00:00.117438,0 days 00:00:54.005017,72.4,74.2,50
190,6,2048,256,64,0.75,3,0 days 00:00:00.117438,0 days 00:00:58.830012,78.2,79.2,50
191,6,2048,256,64,0.75,5,0 days 00:00:00.117438,0 days 00:01:11.784971,80.2,81.0,56
192,6,2048,256,128,0.5,2,0 days 00:00:00.091064,0 days 00:00:46.816103,74.2,74.8,46
193,6,2048,256,128,0.5,3,0 days 00:00:00.091064,0 days 00:01:03.738377,80.6,81.8,62
194,6,2048,256,128,0.5,5,0 days 00:00:00.091064,0 days 00:00:58.730009,81.4,82.4,55
195,6,2048,256,192,0.25,2,0 days 00:00:00.083548,0 days 00:00:50.259515,73.4,78.2,56
196,6,2048,256,192,0.25,3,0 days 00:00:00.083548,0 days 00:01:01.732591,76.6,80.0,64
197,6,2048,256,192,0.25,5,0 days 00:00:00.083548,0 days 00:00:48.020558,77.4,79.8,50
198,6,2048,512,128,0.75,2,0 days 00:00:00.091886,0 days 00:00:58.414791,75.6,75.0,63
199,6,2048,512,128,0.75,3,0 days 00:00:00.091886,0 days 00:01:06.780676,79.0,81.2,65
200,6,2048,512,128,0.75,5,0 days 00:00:00.091886,0 days 00:00:54.297069,77.4,79.6,50
201,6,2048,512,256,0.5,2,0 days 00:00:00.079279,0 days 00:00:57.304759,80.0,81.8,62
202,6,2048,512,256,0.5,3,0 days 00:00:00.079279,0 days 00:00:51.658863,79.6,80.8,56
203,6,2048,512,256,0.5,5,0 days 00:00:00.079279,0 days 00:01:01.972397,83.4,83.0,64
204,6,2048,512,384,0.25,2,0 days 00:00:00.073333,0 days 00:01:08.475792,77.4,81.2,67
205,6,2048,512,384,0.25,3,0 days 00:00:00.073333,0 days 00:00:52.551934,76.8,79.8,53
206,6,2048,512,384,0.25,5,0 days 00:00:00.073333,0 days 00:01:01.407713,80.8,81.8,69
207,6,2048,1024,256,0.75,2,0 days 00:00:00.076784,0 days 00:00:48.892561,72.2,77.2,57
208,6,2048,1024,256,0.75,3,0 days 00:00:00.076784,0 days 00:01:06.071651,79.2,81.6,70
209,6,2048,1024,256,0.75,5,0 days 00:00:00.076784,0 days 00:01:06.222217,81.8,82.6,67
210,6,2048,1024,512,0.5,2,0 days 00:00:00.070029,0 days 00:00:55.645635,74.0,78.2,59
211,6,2048,1024,512,0.5,3,0 days 00:00:00.070029,0 days 00:01:11.237742,80.4,82.2,73
212,6,2048,1024,512,0.5,5,0 days 00:00:00.070029,0 days 00:01:01.371062,84.2,84.2,69
213,6,2048,1024,768,0.25,2,0 days 00:00:00.068349,0 days 00:01:19.618202,78.4,81.6,67
214,6,2048,1024,768,0.25,3,0 days 00:00:00.068349,0 days 00:01:17.431765,81.4,83.2,77
215,6,2048,1024,768,0.25,5,0 days 00:00:00.068349,0 days 00:01:14.848772,85.6,86.2,63
216,6,2048,2048,512,0.75,2,0 days 00:00:00.070796,0 days 00:01:18.237045,80.2,82.6,75
217,6,2048,2048,512,0.75,3,0 days 00:00:00.070796,0 days 00:01:24.731386,81.0,81.6,70
218,6,2048,2048,512,0.75,5,0 days 00:00:00.070796,0 days 00:00:56.940779,80.6,82.6,61
219,6,2048,2048,1024,0.5,2,0 days 00:00:00.065938,0 days 00:01:17.569173,79.0,82.0,79
220,6,2048,2048,1024,0.5,3,0 days 00:00:00.065938,0 days 00:01:13.072951,80.0,82.2,72
221,6,2048,2048,1024,0.5,5,0 days 00:00:00.065938,0 days 00:01:01.856096,84.4,84.2,60
222,6,2048,2048,1536,0.25,2,0 days 00:00:00.066114,0 days 00:01:16.430359,75.6,80.0,70
223,6,2048,2048,1536,0.25,3,0 days 00:00:00.066114,0 days 00:01:55.087320,83.8,84.6,80
224,6,2048,2048,1536,0.25,5,0 days 00:00:00.066114,0 days 00:01:05.626570,84.6,85.0,72
225,6,4096,256,64,0.75,2,0 days 00:00:00.149786,0 days 00:01:05.205078,80.0,81.8,61
226,6,4096,256,64,0.75,3,0 days 00:00:00.149786,0 days 00:01:00.288142,75.2,74.2,47
227,6,4096,256,64,0.75,5,0 days 00:00:00.149786,0 days 00:01:09.772759,80.2,80.8,54
228,6,4096,256,128,0.5,2,0 days 00:00:00.116295,0 days 00:00:52.786306,78.6,80.4,53
229,6,4096,256,128,0.5,3,0 days 00:00:00.116295,0 days 00:00:52.782684,80.4,80.2,53
230,6,4096,256,128,0.5,5,0 days 00:00:00.116295,0 days 00:01:08.118946,82.4,83.2,57
231,6,4096,256,192,0.25,2,0 days 00:00:00.099956,0 days 00:00:51.751919,76.2,79.8,55
232,6,4096,256,192,0.25,3,0 days 00:00:00.099956,0 days 00:01:17.525558,81.0,81.8,64
233,6,4096,256,192,0.25,5,0 days 00:00:00.099956,0 days 00:01:01.665392,81.0,81.6,57
234,6,4096,512,128,0.75,2,0 days 00:00:00.115934,0 days 00:01:06.276652,79.6,81.4,56
235,6,4096,512,128,0.75,3,0 days 00:00:00.115934,0 days 00:01:30.097879,79.8,81.4,68
236,6,4096,512,128,0.75,5,0 days 00:00:00.115934,0 days 00:01:25.257471,84.4,83.8,74
237,6,4096,512,256,0.5,2,0 days 00:00:00.091889,0 days 00:01:07.358325,74.2,79.2,63
238,6,4096,512,256,0.5,3,0 days 00:00:00.091889,0 days 00:01:09.059751,76.6,79.8,63
239,6,4096,512,256,0.5,5,0 days 00:00:00.091889,0 days 00:01:04.032909,81.4,82.2,56
240,6,4096,512,384,0.25,2,0 days 00:00:00.084307,0 days 00:00:55.848422,71.0,77.2,59
241,6,4096,512,384,0.25,3,0 days 00:00:00.084307,0 days 00:01:14.426997,79.2,81.4,74
242,6,4096,512,384,0.25,5,0 days 00:00:00.084307,0 days 00:01:04.797020,83.6,83.8,65
243,6,4096,1024,256,0.75,2,0 days 00:00:00.090063,0 days 00:01:24.650342,79.2,81.4,73
244,6,4096,1024,256,0.75,3,0 days 00:00:00.090063,0 days 00:01:20.286852,81.4,82.6,72
245,6,4096,1024,256,0.75,5,0 days 00:00:00.090063,0 days 00:01:17.069959,84.4,84.8,71
246,6,4096,1024,512,0.5,2,0 days 00:00:00.078362,0 days 00:01:14.552507,77.6,80.4,69
247,6,4096,1024,512,0.5,3,0 days 00:00:00.078362,0 days 00:01:16.496334,82.2,83.2,71
248,6,4096,1024,512,0.5,5,0 days 00:00:00.078362,0 days 00:01:38.732091,86.4,86.6,80
249,6,4096,1024,768,0.25,2,0 days 00:00:00.074442,0 days 00:01:19.687116,79.2,81.6,74
250,6,4096,1024,768,0.25,3,0 days 00:00:00.074442,0 days 00:01:28.032977,82.6,83.4,75
251,6,4096,1024,768,0.25,5,0 days 00:00:00.074442,0 days 00:01:16.763484,84.0,84.6,71
252,6,4096,2048,512,0.75,2,0 days 00:00:00.078884,0 days 00:01:16.460167,72.0,77.2,57
253,6,4096,2048,512,0.75,3,0 days 00:00:00.078884,0 days 00:01:33.147582,83.2,84.0,80
